fecha,clae3,total_cif
2007-01-01,11,3509501
2007-01-01,12,2616820
2007-01-01,13,1702964
2007-01-01,14,1752315
2007-01-01,16,3139799
2007-01-01,21,90408
2007-01-01,24,96311
2007-01-01,31,9390202
2007-01-01,32,-99
2007-01-01,51,-99
2007-01-01,61,61227232
2007-01-01,62,-99
2007-01-01,71,-99
2007-01-01,72,23230380
2007-01-01,81,1278736
2007-01-01,89,1749967
2007-01-01,91,37908904
2007-01-01,99,854019
2007-01-01,101,11051218
2007-01-01,102,2325373
2007-01-01,103,10037740
2007-01-01,104,51370724
2007-01-01,105,9038714
2007-01-01,106,995648
2007-01-01,107,34077780
2007-01-01,108,1919572
2007-01-01,109,13461
2007-01-01,110,21790156
2007-01-01,120,7880532
2007-01-01,131,31778708
2007-01-01,139,28850220
2007-01-01,141,5529319
2007-01-01,142,-99
2007-01-01,143,1165486
2007-01-01,151,10040188
2007-01-01,152,6843322
2007-01-01,161,831569
2007-01-01,162,7615979
2007-01-01,170,68381176
2007-01-01,181,10179456
2007-01-01,182,-99
2007-01-01,192,29191996
2007-01-01,201,36731376
2007-01-01,202,158614784
2007-01-01,203,54802
2007-01-01,210,69517664
2007-01-01,221,32612810
2007-01-01,222,85334832
2007-01-01,231,5692681
2007-01-01,239,15515995
2007-01-01,241,142763968
2007-01-01,242,82084392
2007-01-01,243,5039614
2007-01-01,251,2733614
2007-01-01,252,287836
2007-01-01,259,35013040
2007-01-01,261,286028
2007-01-01,262,15619912
2007-01-01,263,5495007
2007-01-01,264,37107572
2007-01-01,265,3492153
2007-01-01,266,1890285
2007-01-01,267,623004
2007-01-01,268,-99
2007-01-01,271,11847283
2007-01-01,272,1473409
2007-01-01,273,18558820
2007-01-01,274,1110649
2007-01-01,275,15409048
2007-01-01,279,3199897
2007-01-01,281,41078936
2007-01-01,282,27573476
2007-01-01,291,373426912
2007-01-01,292,1699098
2007-01-01,293,86666160
2007-01-01,301,2509430
2007-01-01,302,417469
2007-01-01,303,478293
2007-01-01,309,11067483
2007-01-01,310,3774782
2007-01-01,321,-99
2007-01-01,322,40492
2007-01-01,323,708588
2007-01-01,324,297058
2007-01-01,329,3667717
2007-01-01,331,16849232
2007-01-01,332,-99
2007-01-01,351,9967759
2007-01-01,352,54868
2007-01-01,360,255085
2007-01-01,381,998578
2007-01-01,382,613859
2007-01-01,410,1248490
2007-01-01,421,2659942
2007-01-01,422,2427078
2007-01-01,429,5846190
2007-01-01,431,144034
2007-01-01,432,4354897
2007-01-01,433,116047
2007-01-01,439,1076525
2007-01-01,451,15987505
2007-01-01,452,276654
2007-01-01,453,28519078
2007-01-01,454,26045936
2007-01-01,461,8160887
2007-01-01,462,5001440
2007-01-01,463,20935318
2007-01-01,464,199184400
2007-01-01,465,174048944
2007-01-01,466,90171008
2007-01-01,469,85861736
2007-01-01,471,21634060
2007-01-01,472,246923
2007-01-01,473,-99
2007-01-01,474,2629307
2007-01-01,475,30197928
2007-01-01,476,3622191
2007-01-01,477,18717344
2007-01-01,478,-99
2007-01-01,479,206880
2007-01-01,491,10421350
2007-01-01,492,4693293
2007-01-01,493,6604669
2007-01-01,501,806432
2007-01-01,502,-99
2007-01-01,511,49944208
2007-01-01,512,44094
2007-01-01,521,-99
2007-01-01,522,5485710
2007-01-01,523,1688424
2007-01-01,524,2654950
2007-01-01,530,35923
2007-01-01,551,580657
2007-01-01,561,1323910
2007-01-01,562,-99
2007-01-01,581,9243247
2007-01-01,591,321157
2007-01-01,592,-99
2007-01-01,601,-99
2007-01-01,602,6595020
2007-01-01,611,9246320
2007-01-01,612,83494472
2007-01-01,613,-99
2007-01-01,614,1729607
2007-01-01,619,11079679
2007-01-01,620,9127052
2007-01-01,631,2622971
2007-01-01,639,-99
2007-01-01,641,6927552
2007-01-01,642,-99
2007-01-01,649,1811855
2007-01-01,651,1124708
2007-01-01,661,-99
2007-01-01,681,8625382
2007-01-01,691,-99
2007-01-01,692,-99
2007-01-01,702,9712218
2007-01-01,711,3827657
2007-01-01,712,54335
2007-01-01,721,874913
2007-01-01,722,-99
2007-01-01,731,481825
2007-01-01,732,-99
2007-01-01,741,-99
2007-01-01,742,193439
2007-01-01,749,85424
2007-01-01,750,36827
2007-01-01,771,-99
2007-01-01,772,-99
2007-01-01,773,3511746
2007-01-01,774,-99
2007-01-01,791,19600
2007-01-01,801,189730
2007-01-01,821,161983
2007-01-01,822,369981
2007-01-01,829,25676974
2007-01-01,852,-99
2007-01-01,853,12256
2007-01-01,854,177103
2007-01-01,855,-99
2007-01-01,861,-99
2007-01-01,862,-99
2007-01-01,863,1021393
2007-01-01,869,1347792
2007-01-01,870,-99
2007-01-01,900,-99
2007-01-01,910,22643
2007-01-01,920,2449047
2007-01-01,931,-99
2007-01-01,939,118760
2007-01-01,941,-99
2007-01-01,949,1755150
2007-01-01,951,1012148
2007-01-01,952,120737
2007-01-01,960,1400527
2007-01-01,999,1679963
2007-02-01,11,1163859
2007-02-01,12,2256817
2007-02-01,13,2490663
2007-02-01,14,905945
2007-02-01,16,2186824
2007-02-01,21,-99
2007-02-01,22,-99
2007-02-01,24,-99
2007-02-01,31,4024232
2007-02-01,32,-99
2007-02-01,51,-99
2007-02-01,61,47577648
2007-02-01,62,-99
2007-02-01,72,19449160
2007-02-01,81,543218
2007-02-01,89,814806
2007-02-01,91,27136096
2007-02-01,99,464670
2007-02-01,101,6122825
2007-02-01,102,4356675
2007-02-01,103,8277657
2007-02-01,104,64574224
2007-02-01,105,4587708
2007-02-01,106,1751725
2007-02-01,107,31231812
2007-02-01,108,1329121
2007-02-01,109,111077
2007-02-01,110,20761164
2007-02-01,120,7198037
2007-02-01,131,31852480
2007-02-01,139,24800112
2007-02-01,141,6176555
2007-02-01,143,595117
2007-02-01,151,8968832
2007-02-01,152,9696479
2007-02-01,161,634993
2007-02-01,162,5723519
2007-02-01,170,52303964
2007-02-01,181,13995624
2007-02-01,182,-99
2007-02-01,192,24500640
2007-02-01,201,30479576
2007-02-01,202,147472736
2007-02-01,203,-99
2007-02-01,204,-99
2007-02-01,210,58115716
2007-02-01,221,26065622
2007-02-01,222,60714584
2007-02-01,231,5778263
2007-02-01,239,10635837
2007-02-01,241,126939664
2007-02-01,242,26274992
2007-02-01,243,3613819
2007-02-01,251,1724076
2007-02-01,252,125247
2007-02-01,259,28741396
2007-02-01,261,238494
2007-02-01,262,14154056
2007-02-01,263,5537053
2007-02-01,264,26983200
2007-02-01,265,2225380
2007-02-01,266,1684513
2007-02-01,267,537999
2007-02-01,268,-99
2007-02-01,271,6961415
2007-02-01,272,1684249
2007-02-01,273,10897445
2007-02-01,274,1130129
2007-02-01,275,12081564
2007-02-01,279,2494867
2007-02-01,281,37266788
2007-02-01,282,25538956
2007-02-01,291,530548288
2007-02-01,292,2360648
2007-02-01,293,83040680
2007-02-01,301,2124430
2007-02-01,302,263477
2007-02-01,303,1550786
2007-02-01,309,11702971
2007-02-01,310,3581010
2007-02-01,321,19091
2007-02-01,322,-99
2007-02-01,323,614079
2007-02-01,324,134138
2007-02-01,329,3355345
2007-02-01,331,15785760
2007-02-01,332,71373
2007-02-01,351,16609446
2007-02-01,352,61845
2007-02-01,360,-99
2007-02-01,370,43996
2007-02-01,381,232627
2007-02-01,382,597109
2007-02-01,410,1596334
2007-02-01,421,1430842
2007-02-01,422,5647649
2007-02-01,429,6542056
2007-02-01,431,-99
2007-02-01,432,4257683
2007-02-01,433,-99
2007-02-01,439,1088613
2007-02-01,451,15874147
2007-02-01,452,142429
2007-02-01,453,22962178
2007-02-01,454,14419690
2007-02-01,461,5858091
2007-02-01,462,3056741
