fecha,letra,total_cif
2007-12-01,D,18659308
2007-12-01,E,1476355
2007-12-01,F,28330260
2007-12-01,G,949646656
2007-12-01,H,125934872
2007-12-01,I,2218290
2007-12-01,J,179219056
2007-12-01,K,8088334
2007-12-01,L,8504000
2007-12-01,M,14209649
2007-12-01,N,18498092
2007-12-01,P,177677
2007-12-01,Q,1904940
2007-12-01,R,2737738
2007-12-01,S,6797625
2007-12-01,Z,4171386
2008-01-01,A,17617074
2008-01-01,B,115128464
2008-01-01,C,2546406400
2008-01-01,D,86358752
2008-01-01,E,427585
2008-01-01,F,25918848
2008-01-01,G,1170098944
2008-01-01,H,83540832
2008-01-01,I,1859762
2008-01-01,J,184080160
2008-01-01,K,32944178
2008-01-01,L,7703864
2008-01-01,M,12025466
2008-01-01,N,35688392
2008-01-01,P,320652
2008-01-01,Q,3860034
2008-01-01,R,4665361
2008-01-01,S,4482193
2008-01-01,Z,3230430
2008-02-01,A,14220849
2008-02-01,B,109601600
2008-02-01,C,2439454976
2008-02-01,D,49468788
2008-02-01,E,496919
2008-02-01,F,28023212
2008-02-01,G,981603968
2008-02-01,H,173929760
2008-02-01,I,2934676
2008-02-01,J,170501008
2008-02-01,K,9016566
2008-02-01,L,5154243
2008-02-01,M,8208257
2008-02-01,N,10896935
2008-02-01,P,284904
2008-02-01,Q,2084302
2008-02-01,R,3437666
2008-02-01,S,4742300
2008-02-01,Z,2426590
2008-03-01,A,14153894
2008-03-01,B,131547232
2008-03-01,C,2533491456
2008-03-01,D,58795152
2008-03-01,E,470736
2008-03-01,F,22960284
2008-03-01,G,959855360
2008-03-01,H,59312512
2008-03-01,I,2298495
2008-03-01,J,149247136
2008-03-01,K,13564232
2008-03-01,L,6734096
2008-03-01,M,11301464
2008-03-01,N,42877552
2008-03-01,P,372797
2008-03-01,Q,3984469
2008-03-01,R,4735072
2008-03-01,S,8166038
2008-03-01,Z,3159496
2008-04-01,A,11967040
2008-04-01,B,175500464
2008-04-01,C,2837520384
2008-04-01,D,71628064
2008-04-01,E,639759
2008-04-01,F,61269216
2008-04-01,G,1158811136
2008-04-01,H,59615624
2008-04-01,I,2937498
2008-04-01,J,209628000
2008-04-01,K,14178037
2008-04-01,L,4866388
2008-04-01,M,10442024
2008-04-01,N,119823936
2008-04-01,P,182634
2008-04-01,Q,4604773
2008-04-01,R,2979006
2008-04-01,S,7205996
2008-04-01,Z,3324117
2008-05-01,A,16255362
2008-05-01,B,148810848
2008-05-01,C,2861358848
2008-05-01,D,39718736
2008-05-01,E,156884
2008-05-01,F,34760032
2008-05-01,G,1143296512
2008-05-01,H,72920896
2008-05-01,I,2208009
2008-05-01,J,231303872
2008-05-01,K,37954840
2008-05-01,L,4702571
2008-05-01,M,16656731
2008-05-01,N,348055168
2008-05-01,P,165416
2008-05-01,Q,1530072
2008-05-01,R,807040
2008-05-01,S,9757028
2008-05-01,Z,5704619
2008-06-01,A,18560206
2008-06-01,B,116560448
2008-06-01,C,3029491968
2008-06-01,D,56180832
2008-06-01,E,719488
2008-06-01,F,37633708
2008-06-01,G,1122420096
2008-06-01,H,36894088
2008-06-01,I,3399721
2008-06-01,J,178619056
2008-06-01,K,8491119
2008-06-01,L,6105438
2008-06-01,M,9256764
2008-06-01,N,432877856
2008-06-01,P,78457
2008-06-01,Q,7001756
2008-06-01,R,1932334
2008-06-01,S,14053673
2008-06-01,Z,4565453
2008-07-01,A,11086849
2008-07-01,B,144884752
2008-07-01,C,3345745920
2008-07-01,D,125597792
2008-07-01,E,851651
2008-07-01,F,17230672
2008-07-01,G,1281112704
2008-07-01,H,118243304
2008-07-01,I,9393800
2008-07-01,J,180976080
2008-07-01,K,13804771
2008-07-01,L,7147744
2008-07-01,M,13650394
2008-07-01,N,373179840
2008-07-01,P,111788
2008-07-01,Q,4510288
2008-07-01,R,2924531
2008-07-01,S,5047794
2008-07-01,Z,3759220
2008-08-01,A,21067944
2008-08-01,B,163023888
2008-08-01,C,2997050112
2008-08-01,D,94895464
2008-08-01,E,272999
2008-08-01,F,44185880
2008-08-01,G,1173243008
2008-08-01,H,53936312
2008-08-01,I,2254967
2008-08-01,J,198005632
2008-08-01,K,9437879
2008-08-01,L,5453509
2008-08-01,M,11538877
2008-08-01,N,144375120
2008-08-01,P,113312
2008-08-01,Q,3106862
2008-08-01,R,2351168
2008-08-01,S,5693987
2008-08-01,Z,2723334
2008-09-01,A,25130966
2008-09-01,B,180163776
2008-09-01,C,3110509312
2008-09-01,D,38196064
2008-09-01,E,599704
2008-09-01,F,30830316
2008-09-01,G,1280269568
2008-09-01,H,77409856
2008-09-01,I,3293295
2008-09-01,J,169763216
2008-09-01,K,12823876
2008-09-01,L,15132049
2008-09-01,M,11626246
2008-09-01,N,154446368
2008-09-01,P,160508
2008-09-01,Q,3627044
2008-09-01,R,3674535
2008-09-01,S,6866436
2008-09-01,Z,4695596
2008-10-01,A,20540628
2008-10-01,B,127958528
2008-10-01,C,3030664448
2008-10-01,D,41952236
2008-10-01,E,885130
2008-10-01,F,18088260
2008-10-01,G,1316585856
2008-10-01,H,47493064
2008-10-01,I,2292831
2008-10-01,J,215103040
2008-10-01,K,11311402
2008-10-01,L,6895943
2008-10-01,M,11473966
2008-10-01,N,52266084
2008-10-01,P,87831
2008-10-01,Q,2779034
2008-10-01,R,1439736
2008-10-01,S,6563141
2008-10-01,Z,2804373
2008-11-01,A,23563092
2008-11-01,B,120923968
2008-11-01,C,2386456320
2008-11-01,D,24935796
2008-11-01,E,409566
2008-11-01,F,29316752
2008-11-01,G,1051793088
2008-11-01,H,117150224
2008-11-01,I,4298064
2008-11-01,J,171950560
2008-11-01,K,29649876
2008-11-01,L,8344989
2008-11-01,M,31253212
2008-11-01,N,13877719
2008-11-01,P,191283
2008-11-01,Q,6566500
2008-11-01,R,3609803
2008-11-01,S,6054697
2008-11-01,Z,2976078
2008-12-01,A,29984904
2008-12-01,B,97061208
2008-12-01,C,1842705664
2008-12-01,D,16742828
2008-12-01,E,703272
2008-12-01,F,19290728
2008-12-01,G,931823232
2008-12-01,H,193976352
2008-12-01,I,3621933
2008-12-01,J,112422336
2008-12-01,K,32288892
2008-12-01,L,6080461
2008-12-01,M,10336072
2008-12-01,N,18488408
2008-12-01,P,164971
2008-12-01,Q,7022960
2008-12-01,R,4925674
2008-12-01,S,5890136
2008-12-01,Z,3431099
2009-01-01,A,22363558
2009-01-01,B,89477344
2009-01-01,C,1367709056
2009-01-01,D,40183268
2009-01-01,E,468073
2009-01-01,F,35121216
2009-01-01,G,820193024
2009-01-01,H,96182880
2009-01-01,I,2409578
2009-01-01,J,111877968
2009-01-01,K,42480344
2009-01-01,L,4319759
2009-01-01,M,9387340
2009-01-01,N,23543242
2009-01-01,P,104472
2009-01-01,Q,4849027
2009-01-01,R,9714293
2009-01-01,S,3661676
2009-01-01,Z,5605463
2009-02-01,A,19664136
2009-02-01,B,93833232
2009-02-01,C,1412937600
2009-02-01,D,138111152
2009-02-01,E,306421
2009-02-01,F,14823085
2009-02-01,G,685390976
2009-02-01,H,13339159
2009-02-01,I,2194237
2009-02-01,J,123872840
2009-02-01,K,11184985
2009-02-01,L,4033760
2009-02-01,M,8067926
2009-02-01,N,25954406
2009-02-01,P,304503
2009-02-01,Q,5109164
2009-02-01,R,634699
2009-02-01,S,3745238
2009-02-01,Z,2646502
2009-03-01,A,17144388
2009-03-01,B,99441216
2009-03-01,C,1545246080
2009-03-01,D,55674992
2009-03-01,E,699146
2009-03-01,F,13180086
2009-03-01,G,772652288
2009-03-01,H,15948860
2009-03-01,I,3127668
2009-03-01,J,144862448
2009-03-01,K,19923396
2009-03-01,L,3552987
2009-03-01,M,8022718
2009-03-01,N,11672455
2009-03-01,P,147331
2009-03-01,Q,4544749
2009-03-01,R,5509522
2009-03-01,S,5337908
2009-03-01,Z,2194919
2009-04-01,A,10054507
2009-04-01,B,66898052
2009-04-01,C,1502547456
2009-04-01,D,52208512
2009-04-01,E,3237362
2009-04-01,F,19377608
2009-04-01,G,763498112
2009-04-01,H,15465189
2009-04-01,I,2785400
2009-04-01,J,131016712
2009-04-01,K,8414464
2009-04-01,L,3765226
2009-04-01,M,8599389
2009-04-01,N,85321296
2009-04-01,P,318644
2009-04-01,Q,3117146
2009-04-01,R,744724
2009-04-01,S,4031281
2009-04-01,Z,2158881
2009-05-01,A,13645117
2009-05-01,B,65920992
2009-05-01,C,1424271744
2009-05-01,D,20821160
2009-05-01,E,304229
2009-05-01,F,16818268
2009-05-01,G,658559808
2009-05-01,H,16594021
2009-05-01,I,2703972
2009-05-01,J,110529448
2009-05-01,K,18724740
2009-05-01,L,7102554
