fecha,clae6,total_fob
2007-01-01,222010,13585383
2007-01-01,222090,19695004
2007-01-01,231010,986680
2007-01-01,231020,897775
2007-01-01,231090,1098917
2007-01-01,239100,416758
2007-01-01,239201,-99
2007-01-01,239202,3873677
2007-01-01,239209,-99
2007-01-01,239310,-99
2007-01-01,239391,-99
2007-01-01,239399,51077
2007-01-01,239410,901515
2007-01-01,239421,-99
2007-01-01,239422,1724215
2007-01-01,239510,88399
2007-01-01,239592,120111
2007-01-01,239593,984956
2007-01-01,239600,530228
2007-01-01,239900,3319291
2007-01-01,241001,157027
2007-01-01,241009,148464032
2007-01-01,242010,39215956
2007-01-01,242090,2565246
2007-01-01,243100,3174057
2007-01-01,243200,3088313
2007-01-01,251101,185506
2007-01-01,251102,1301080
2007-01-01,251200,1432680
2007-01-01,252000,530889
2007-01-01,259100,1001809
2007-01-01,259200,331582
2007-01-01,259301,449902
2007-01-01,259302,42871
2007-01-01,259309,283870
2007-01-01,259910,4501314
2007-01-01,259991,-99
2007-01-01,259993,1596184
2007-01-01,259999,9599335
2007-01-01,261000,58006
2007-01-01,262000,4648865
2007-01-01,263000,345023
2007-01-01,264000,247580
2007-01-01,265101,2327195
2007-01-01,265102,358518
2007-01-01,265200,-99
2007-01-01,266010,902212
2007-01-01,266090,1614645
2007-01-01,267001,319083
2007-01-01,271010,2729517
2007-01-01,271020,1465114
2007-01-01,272000,1199483
2007-01-01,273110,-99
2007-01-01,273190,4416341
2007-01-01,274000,1055915
2007-01-01,275010,440477
2007-01-01,275020,1694125
2007-01-01,275091,337983
2007-01-01,275092,-99
2007-01-01,275099,651700
2007-01-01,279000,2043315
2007-01-01,281100,3056787
2007-01-01,281201,2068412
2007-01-01,281301,4231091
2007-01-01,281400,4341209
2007-01-01,281500,207048
2007-01-01,281600,1382217
2007-01-01,281700,-99
2007-01-01,281900,3302134
2007-01-01,282110,-99
2007-01-01,282120,4994758
2007-01-01,282130,36552
2007-01-01,282200,201450
2007-01-01,282300,271306
2007-01-01,282400,1776922
2007-01-01,282500,3568656
2007-01-01,282600,-99
2007-01-01,282901,386603
2007-01-01,282909,12364456
2007-01-01,291000,195573088
2007-01-01,292000,1011613
2007-01-01,293090,43824612
2007-01-01,301100,422937
2007-01-01,301200,96683
2007-01-01,302000,1274138
2007-01-01,303000,2237351
2007-01-01,309100,-99
2007-01-01,309200,-99
2007-01-01,309900,220886
2007-01-01,310010,1885132
2007-01-01,310020,1721795
2007-01-01,310030,298203
2007-01-01,321012,-99
2007-01-01,321020,102739
2007-01-01,322001,141418
2007-01-01,323001,200117
2007-01-01,324000,46718
2007-01-01,329010,-99
2007-01-01,329020,90270
2007-01-01,329030,-99
2007-01-01,329090,2692548
2007-01-01,331210,1518894
2007-01-01,331290,812495
2007-01-01,331301,-99
2007-01-01,331400,-99
2007-01-01,331900,406604
2007-01-01,332000,-99
2007-01-01,351110,6079237
2007-01-01,381200,-99
2007-01-01,382010,-99
2007-01-01,382020,1720650
2007-01-01,410011,-99
2007-01-01,410021,404221
2007-01-01,421000,-99
2007-01-01,422200,303895
2007-01-01,429010,-99
2007-01-01,429090,175211
2007-01-01,432190,31461
2007-01-01,432200,-99
2007-01-01,432920,-99
2007-01-01,432990,-99
2007-01-01,433020,-99
2007-01-01,433040,-99
2007-01-01,439910,-99
2007-01-01,439990,-99
2007-01-01,451110,-99
2007-01-01,452300,-99
2007-01-01,452600,-99
2007-01-01,452990,79814
2007-01-01,453100,2523934
2007-01-01,453210,-99
2007-01-01,453291,53393
2007-01-01,454010,-99
2007-01-01,461011,14219581
2007-01-01,461012,-99
2007-01-01,461013,-99
2007-01-01,461019,773604
2007-01-01,461021,-99
2007-01-01,461032,4420251
2007-01-01,461039,1443104
2007-01-01,461091,-99
2007-01-01,461092,-99
2007-01-01,461093,39207
2007-01-01,461094,-99
2007-01-01,461099,12421880
2007-01-01,462120,607902
2007-01-01,462131,154306176
2007-01-01,462132,-99
2007-01-01,462190,853441
2007-01-01,462201,10067921
2007-01-01,462209,144590
2007-01-01,463111,-99
2007-01-01,463121,14238434
2007-01-01,463129,-99
2007-01-01,463130,1429866
2007-01-01,463140,25767276
2007-01-01,463153,2254290
2007-01-01,463154,54808
2007-01-01,463159,-99
2007-01-01,463170,-99
2007-01-01,463180,819854
2007-01-01,463191,5906285
2007-01-01,463199,8414393
2007-01-01,463211,865498
2007-01-01,463219,14815
2007-01-01,463220,-99
2007-01-01,463300,-99
2007-01-01,464111,-99
2007-01-01,464113,-99
2007-01-01,464119,58227
2007-01-01,464129,408237
2007-01-01,464130,97898
2007-01-01,464141,5155123
2007-01-01,464142,-99
2007-01-01,464149,25887
2007-01-01,464211,358614
2007-01-01,464212,110971
2007-01-01,464221,511689
2007-01-01,464222,-99
2007-01-01,464223,376688
2007-01-01,464310,3004206
2007-01-01,464320,1806414
2007-01-01,464330,374276
2007-01-01,464340,258252
2007-01-01,464410,22483
2007-01-01,464420,131601
2007-01-01,464501,261776
2007-01-01,464502,358847
2007-01-01,464610,-99
2007-01-01,464620,495375
2007-01-01,464631,-99
2007-01-01,464632,140300
2007-01-01,464910,786452
2007-01-01,464930,79098
2007-01-01,464950,-99
2007-01-01,464991,-99
2007-01-01,464999,309824
2007-01-01,465100,813142
2007-01-01,465210,456097
2007-01-01,465220,-99
2007-01-01,465310,745673
2007-01-01,465320,-99
2007-01-01,465330,29356
2007-01-01,465340,131818
2007-01-01,465350,172705
2007-01-01,465360,-99
2007-01-01,465390,405005
2007-01-01,465400,341693
2007-01-01,465500,-99
2007-01-01,465610,-99
2007-01-01,465690,-99
2007-01-01,465910,45724
2007-01-01,465930,219432
2007-01-01,465990,911683
2007-01-01,466110,37859
2007-01-01,466121,-99
2007-01-01,466129,669775
2007-01-01,466200,1676417
2007-01-01,466320,605570
2007-01-01,466330,228036
2007-01-01,466340,181786
2007-01-01,466350,-99
2007-01-01,466360,25596
2007-01-01,466391,126901
2007-01-01,466399,59584
2007-01-01,466910,-99
2007-01-01,466920,-99
2007-01-01,466931,1038160
2007-01-01,466932,2806939
2007-01-01,466939,1133498
2007-01-01,466940,560984
2007-01-01,466990,3655309
2007-01-01,469010,1465694
2007-01-01,469090,16645255
2007-01-01,471110,1281368
2007-01-01,471120,4411819
2007-01-01,471130,-99
2007-01-01,472120,-99
2007-01-01,472150,-99
2007-01-01,472200,-99
2007-01-01,473000,-99
2007-01-01,474010,-99
2007-01-01,475230,-99
2007-01-01,475240,-99
2007-01-01,475270,-99
2007-01-01,475290,208492
2007-01-01,475300,-99
2007-01-01,475410,108001
2007-01-01,475490,-99
2007-01-01,476110,87496
2007-01-01,476130,-99
2007-01-01,476200,132515
2007-01-01,476310,74976
2007-01-01,476320,-99
2007-01-01,477110,-99
2007-01-01,477130,-99
2007-01-01,477140,-99
2007-01-01,477150,-99
2007-01-01,477190,992742
2007-01-01,477210,155524
2007-01-01,477220,102001
2007-01-01,477290,-99
2007-01-01,477310,-99
2007-01-01,477320,36310
2007-01-01,477330,40520
2007-01-01,477410,-99
2007-01-01,477420,42280
2007-01-01,477440,-99
2007-01-01,477480,140934
2007-01-01,477490,503072
2007-01-01,477810,-99
2007-01-01,477830,202935
2007-01-01,478010,-99
2007-01-01,479900,25176
2007-01-01,492150,-99
2007-01-01,492180,-99
2007-01-01,492190,-99
2007-01-01,492210,111507
2007-01-01,492240,-99
2007-01-01,492280,-99
2007-01-01,492290,974131
2007-01-01,493200,-99
2007-01-01,501200,320021
2007-01-01,502200,-99
2007-01-01,511000,26992328
2007-01-01,521020,-99
2007-01-01,522010,-99
2007-01-01,522020,912048
2007-01-01,522091,80854
2007-01-01,522099,5139249
2007-01-01,523011,330921
2007-01-01,523019,-99
2007-01-01,523020,-99
2007-01-01,523031,-99
2007-01-01,523090,1081396
2007-01-01,524120,-99
2007-01-01,524230,-99
2007-01-01,524290,4557
2007-01-01,524390,1422018
2007-01-01,561011,-99
2007-01-01,561019,25144
2007-01-01,561030,-99
2007-01-01,562010,-99
