fecha,clae2,total_fob
2007-01-01,1,71375080
2007-01-01,2,764530
2007-01-01,3,36065820
2007-01-01,5,-99
2007-01-01,6,371721504
2007-01-01,7,169136864
2007-01-01,8,8703335
2007-01-01,9,3429847
2007-01-01,10,1062633728
2007-01-01,11,45002432
2007-01-01,12,6302258
2007-01-01,13,28232764
2007-01-01,14,3786637
2007-01-01,15,73531688
2007-01-01,16,10962237
2007-01-01,17,54318712
2007-01-01,18,4463214
2007-01-01,19,89322408
2007-01-01,20,218378832
2007-01-01,21,43357456
2007-01-01,22,55656024
2007-01-01,23,16021802
2007-01-01,24,196664624
2007-01-01,25,21319360
2007-01-01,26,10839586
2007-01-01,27,16306124
2007-01-01,28,42331100
2007-01-01,29,240409312
2007-01-01,30,4285212
2007-01-01,31,3905130
2007-01-01,32,3442738
2007-01-01,33,2813782
2007-01-01,35,6079237
2007-01-01,38,1773845
2007-01-01,41,430864
2007-01-01,42,17401126
2007-01-01,43,755518
2007-01-01,45,3168738
2007-01-01,46,314480576
2007-01-01,47,10009944
2007-01-01,49,12744776
2007-01-01,50,1058841
2007-01-01,51,26992328
2007-01-01,52,9058626
2007-01-01,56,46861
2007-01-01,58,2290149
2007-01-01,59,2218752
2007-01-01,60,1019807
2007-01-01,61,2902055
2007-01-01,62,1361919
2007-01-01,63,-99
2007-01-01,64,-99
2007-01-01,68,7352132
2007-01-01,69,22516
2007-01-01,70,2782294
2007-01-01,71,1150933
2007-01-01,72,132158
2007-01-01,73,153972
2007-01-01,74,419637
2007-01-01,75,-99
2007-01-01,77,859294
2007-01-01,79,-99
2007-01-01,81,-99
2007-01-01,82,9427990
2007-01-01,85,-99
2007-01-01,86,597748
2007-01-01,90,-99
2007-01-01,91,-99
2007-01-01,92,-99
2007-01-01,93,40877
2007-01-01,94,680111
2007-01-01,95,68510
2007-01-01,96,648805
2007-01-01,999,596685
2007-02-01,1,98194264
2007-02-01,2,1050009
2007-02-01,3,35937208
2007-02-01,5,-99
2007-02-01,6,335271616
2007-02-01,7,214454960
2007-02-01,8,9758495
2007-02-01,9,2584683
2007-02-01,10,1174789248
2007-02-01,11,45000884
2007-02-01,12,9194268
2007-02-01,13,37237692
2007-02-01,14,4060528
2007-02-01,15,79721856
2007-02-01,16,7605229
2007-02-01,17,42913496
2007-02-01,18,3966020
2007-02-01,19,98315600
2007-02-01,20,189056112
2007-02-01,21,40279516
2007-02-01,22,47032888
2007-02-01,23,12403415
2007-02-01,24,172715408
2007-02-01,25,19717854
2007-02-01,26,8690526
2007-02-01,27,16735470
2007-02-01,28,44671224
2007-02-01,29,392728256
2007-02-01,30,2006144
2007-02-01,31,3167205
2007-02-01,32,2684190
2007-02-01,33,1792066
2007-02-01,35,10005759
2007-02-01,38,1354943
2007-02-01,41,446423
2007-02-01,42,383056
2007-02-01,43,1179086
2007-02-01,45,3386874
2007-02-01,46,298540512
2007-02-01,47,9901668
2007-02-01,49,17592714
2007-02-01,50,183725
2007-02-01,51,11648167
2007-02-01,52,8568261
2007-02-01,55,-99
2007-02-01,56,83842
2007-02-01,58,2094748
2007-02-01,59,329262
2007-02-01,60,546758
2007-02-01,61,560470
2007-02-01,62,1177564
2007-02-01,64,-99
2007-02-01,68,6819536
2007-02-01,69,62278
2007-02-01,70,1972365
2007-02-01,71,898543
2007-02-01,72,136238
2007-02-01,73,32522
2007-02-01,74,53846
2007-02-01,75,-99
2007-02-01,77,1153355
2007-02-01,81,-99
2007-02-01,82,6992058
2007-02-01,85,7601
2007-02-01,86,473967
2007-02-01,90,55815
2007-02-01,91,-99
2007-02-01,92,-99
2007-02-01,93,27245
2007-02-01,94,678052
2007-02-01,95,-99
2007-02-01,96,793783
2007-02-01,999,766192
2007-03-01,1,99004352
2007-03-01,2,1205513
2007-03-01,3,45224876
2007-03-01,5,-99
2007-03-01,6,359844896
2007-03-01,7,193184512
2007-03-01,8,8132619
2007-03-01,9,8191519
2007-03-01,10,1338852864
2007-03-01,11,49963516
2007-03-01,12,12933603
2007-03-01,13,36015288
2007-03-01,14,5369949
2007-03-01,15,91084128
2007-03-01,16,12336782
2007-03-01,17,54636264
2007-03-01,18,5647249
2007-03-01,19,105688384
2007-03-01,20,232476720
2007-03-01,21,46123452
2007-03-01,22,65214656
2007-03-01,23,18197316
2007-03-01,24,201990080
2007-03-01,25,27936832
2007-03-01,26,8174870
2007-03-01,27,17744312
2007-03-01,28,62576824
2007-03-01,29,457708352
2007-03-01,30,4524744
2007-03-01,31,4208490
2007-03-01,32,3547231
2007-03-01,33,1710648
2007-03-01,35,9532957
2007-03-01,37,-99
2007-03-01,38,1111812
2007-03-01,41,325302
2007-03-01,42,2181865
2007-03-01,43,491794
2007-03-01,45,4393665
2007-03-01,46,397216576
2007-03-01,47,10577200
2007-03-01,49,19693596
2007-03-01,50,795223
2007-03-01,51,26966208
2007-03-01,52,7362016
2007-03-01,53,-99
2007-03-01,55,146244
2007-03-01,56,143040
2007-03-01,58,2341968
2007-03-01,59,1169946
2007-03-01,60,245218
2007-03-01,61,1165254
2007-03-01,62,1603889
2007-03-01,63,-99
2007-03-01,64,-99
2007-03-01,68,7574507
2007-03-01,69,-99
2007-03-01,70,2212972
2007-03-01,71,1262957
2007-03-01,72,142074
2007-03-01,73,134581
2007-03-01,74,72481
2007-03-01,75,-99
2007-03-01,77,1425050
2007-03-01,79,-99
2007-03-01,81,-99
2007-03-01,82,11351737
2007-03-01,85,-99
2007-03-01,86,640532
2007-03-01,90,-99
2007-03-01,91,-99
2007-03-01,92,-99
2007-03-01,93,78402
2007-03-01,94,971779
2007-03-01,95,57656
2007-03-01,96,1750730
2007-03-01,999,1178663
2007-04-01,1,76118768
2007-04-01,2,741221
2007-04-01,3,82873824
2007-04-01,5,-99
2007-04-01,6,342233376
2007-04-01,7,78751648
2007-04-01,8,8459169
2007-04-01,9,5746822
2007-04-01,10,1610349696
2007-04-01,11,54908628
2007-04-01,12,10477569
2007-04-01,13,33497262
2007-04-01,14,3991431
2007-04-01,15,88800544
2007-04-01,16,11675420
2007-04-01,17,53819508
