fecha,letra,total_fob
2007-12-01,H,171497280
2007-12-01,I,185163
2007-12-01,J,9714757
2007-12-01,K,-99
2007-12-01,L,12748900
2007-12-01,M,8307094
2007-12-01,N,9317521
2007-12-01,P,-99
2007-12-01,Q,436979
2007-12-01,R,1535807
2007-12-01,S,1705381
2007-12-01,Z,1229546
2008-01-01,A,104720592
2008-01-01,B,420892000
2008-01-01,C,4042442496
2008-01-01,D,5504957
2008-01-01,E,1701307
2008-01-01,F,3464312
2008-01-01,G,678094720
2008-01-01,H,118283208
2008-01-01,I,81788
2008-01-01,J,9475848
2008-01-01,K,859746
2008-01-01,L,8888343
2008-01-01,M,8028577
2008-01-01,N,8284312
2008-01-01,P,27746
2008-01-01,Q,162172
2008-01-01,R,156687
2008-01-01,S,1392169
2008-01-01,Z,1773640
2008-02-01,A,140161504
2008-02-01,B,434333600
2008-02-01,C,3428228352
2008-02-01,D,16440563
2008-02-01,E,2130738
2008-02-01,F,2832148
2008-02-01,G,657851776
2008-02-01,H,119876112
2008-02-01,I,205566
2008-02-01,J,8903579
2008-02-01,K,572891
2008-02-01,L,9051851
2008-02-01,M,5009684
2008-02-01,N,11654985
2008-02-01,P,52562
2008-02-01,Q,109105
2008-02-01,R,402261
2008-02-01,S,1976838
2008-02-01,Z,1012422
2008-03-01,A,140791648
2008-03-01,B,528467520
2008-03-01,C,3294046464
2008-03-01,D,25460836
2008-03-01,E,1990547
2008-03-01,F,7974658
2008-03-01,G,481471776
2008-03-01,H,136869664
2008-03-01,I,243903
2008-03-01,J,6447008
2008-03-01,K,900978
2008-03-01,L,9025896
2008-03-01,M,3823411
2008-03-01,N,13185705
2008-03-01,P,-99
2008-03-01,Q,319058
2008-03-01,R,169438
2008-03-01,S,1680929
2008-03-01,Z,910924
2008-04-01,A,195509088
2008-04-01,B,603110720
2008-04-01,C,3892277504
2008-04-01,D,11829868
2008-04-01,E,2332427
2008-04-01,F,3357236
2008-04-01,G,733242880
2008-04-01,H,71420752
2008-04-01,I,159133
2008-04-01,J,8627176
2008-04-01,K,-99
2008-04-01,L,7024061
2008-04-01,M,5763095
2008-04-01,N,23804200
2008-04-01,P,15593
2008-04-01,Q,525736
2008-04-01,R,97990
2008-04-01,S,2496673
2008-04-01,Z,1012238
2008-05-01,A,201337088
2008-05-01,B,305077088
2008-05-01,C,4556421120
2008-05-01,D,6397069
2008-05-01,E,2127011
2008-05-01,F,4725909
2008-05-01,G,839853120
2008-05-01,H,37353584
2008-05-01,I,150332
2008-05-01,J,12232347
2008-05-01,K,398901
2008-05-01,L,11306895
2008-05-01,M,5713137
2008-05-01,N,8651786
2008-05-01,P,-99
2008-05-01,Q,274362
2008-05-01,R,106562
2008-05-01,S,2075394
2008-05-01,Z,1168228
2008-06-01,A,178426992
2008-06-01,B,311538048
2008-06-01,C,3811744768
2008-06-01,D,1700612
2008-06-01,E,1781334
2008-06-01,F,3351140
