fecha,clae6,empresas
2007-01-01,241001,3
2007-01-01,241009,40
2007-01-01,242010,3
2007-01-01,242090,6
2007-01-01,243100,11
2007-01-01,243200,15
2007-01-01,251101,6
2007-01-01,251102,11
2007-01-01,251200,10
2007-01-01,252000,3
2007-01-01,259100,16
2007-01-01,259200,4
2007-01-01,259301,9
2007-01-01,259302,5
2007-01-01,259309,18
2007-01-01,259910,14
2007-01-01,259991,-99
2007-01-01,259993,58
2007-01-01,259999,131
2007-01-01,261000,4
2007-01-01,262000,9
2007-01-01,263000,11
2007-01-01,264000,8
2007-01-01,265101,25
2007-01-01,265102,15
2007-01-01,265200,-99
2007-01-01,266010,13
2007-01-01,266090,25
2007-01-01,267001,3
2007-01-01,271010,20
2007-01-01,271020,11
2007-01-01,272000,6
2007-01-01,273110,-99
2007-01-01,273190,15
2007-01-01,274000,13
2007-01-01,275010,9
2007-01-01,275020,9
2007-01-01,275091,7
2007-01-01,275092,-99
2007-01-01,275099,26
2007-01-01,279000,50
2007-01-01,281100,4
2007-01-01,281201,17
2007-01-01,281301,22
2007-01-01,281400,4
2007-01-01,281500,4
2007-01-01,281600,12
2007-01-01,281700,-99
2007-01-01,281900,40
2007-01-01,282110,-99
2007-01-01,282120,49
2007-01-01,282130,3
2007-01-01,282200,13
2007-01-01,282300,5
2007-01-01,282400,7
2007-01-01,282500,37
2007-01-01,282600,-99
2007-01-01,282901,5
2007-01-01,282909,94
2007-01-01,291000,11
2007-01-01,292000,12
2007-01-01,293090,211
2007-01-01,301100,3
2007-01-01,301200,4
2007-01-01,302000,5
2007-01-01,303000,3
2007-01-01,309100,-99
2007-01-01,309200,-99
2007-01-01,309900,3
2007-01-01,310010,39
2007-01-01,310020,20
2007-01-01,310030,6
2007-01-01,321012,-99
2007-01-01,321020,3
2007-01-01,322001,4
2007-01-01,323001,9
2007-01-01,324000,6
2007-01-01,329010,-99
2007-01-01,329020,3
2007-01-01,329030,-99
2007-01-01,329090,54
2007-01-01,331210,4
2007-01-01,331290,5
2007-01-01,331301,-99
2007-01-01,331400,-99
2007-01-01,331900,4
2007-01-01,332000,-99
2007-01-01,351110,3
2007-01-01,381200,-99
2007-01-01,382010,-99
2007-01-01,382020,5
2007-01-01,410011,-99
2007-01-01,410021,8
2007-01-01,421000,-99
2007-01-01,422200,7
2007-01-01,429010,-99
2007-01-01,429090,3
2007-01-01,432190,4
2007-01-01,432200,-99
2007-01-01,432920,-99
2007-01-01,432990,-99
2007-01-01,433020,-99
2007-01-01,433040,-99
2007-01-01,439910,-99
2007-01-01,439990,-99
2007-01-01,451110,-99
2007-01-01,452300,-99
2007-01-01,452600,-99
2007-01-01,452990,3
2007-01-01,453100,31
2007-01-01,453210,-99
2007-01-01,453291,4
2007-01-01,454010,-99
2007-01-01,461011,16
2007-01-01,461012,-99
2007-01-01,461013,-99
2007-01-01,461019,6
2007-01-01,461021,-99
2007-01-01,461032,9
2007-01-01,461039,5
2007-01-01,461091,-99
2007-01-01,461092,-99
2007-01-01,461093,4
2007-01-01,461094,-99
2007-01-01,461099,7
2007-01-01,462120,7
2007-01-01,462131,44
2007-01-01,462132,-99
2007-01-01,462190,10
2007-01-01,462201,12
2007-01-01,462209,4
2007-01-01,463111,-99
2007-01-01,463121,13
2007-01-01,463129,-99
2007-01-01,463130,10
2007-01-01,463140,62
2007-01-01,463153,3
2007-01-01,463154,3
2007-01-01,463159,-99
2007-01-01,463170,-99
2007-01-01,463180,6
2007-01-01,463191,20
2007-01-01,463199,41
2007-01-01,463211,6
2007-01-01,463219,3
2007-01-01,463220,-99
2007-01-01,463300,-99
2007-01-01,464111,-99
2007-01-01,464113,-99
2007-01-01,464119,3
2007-01-01,464129,7
2007-01-01,464130,3
2007-01-01,464141,10
2007-01-01,464142,-99
2007-01-01,464149,4
2007-01-01,464211,17
2007-01-01,464212,5
2007-01-01,464221,7
2007-01-01,464222,-99
2007-01-01,464223,4
2007-01-01,464310,30
2007-01-01,464320,19
2007-01-01,464330,12
2007-01-01,464340,5
2007-01-01,464410,5
2007-01-01,464420,4
2007-01-01,464501,7
2007-01-01,464502,7
2007-01-01,464610,-99
2007-01-01,464620,5
2007-01-01,464631,-99
2007-01-01,464632,6
2007-01-01,464910,6
2007-01-01,464930,4
2007-01-01,464950,-99
2007-01-01,464991,-99
2007-01-01,464999,11
2007-01-01,465100,7
2007-01-01,465210,10
2007-01-01,465220,-99
2007-01-01,465310,10
2007-01-01,465320,-99
2007-01-01,465330,3
2007-01-01,465340,7
2007-01-01,465350,13
2007-01-01,465360,-99
2007-01-01,465390,17
2007-01-01,465400,8
2007-01-01,465500,-99
2007-01-01,465610,-99
2007-01-01,465690,-99
2007-01-01,465910,4
2007-01-01,465930,13
2007-01-01,465990,20
2007-01-01,466110,4
2007-01-01,466121,-99
2007-01-01,466129,9
2007-01-01,466200,9
2007-01-01,466320,5
2007-01-01,466330,8
2007-01-01,466340,4
2007-01-01,466350,-99
2007-01-01,466360,3
2007-01-01,466391,3
2007-01-01,466399,6
2007-01-01,466910,-99
2007-01-01,466920,-99
2007-01-01,466931,3
2007-01-01,466932,13
2007-01-01,466939,9
2007-01-01,466940,3
2007-01-01,466990,6
2007-01-01,469010,4
2007-01-01,469090,106
2007-01-01,471110,4
2007-01-01,471120,4
2007-01-01,471130,-99
2007-01-01,472120,-99
2007-01-01,472150,-99
2007-01-01,472200,-99
2007-01-01,473000,-99
2007-01-01,474010,-99
2007-01-01,475230,-99
2007-01-01,475240,-99
2007-01-01,475270,-99
2007-01-01,475290,8
2007-01-01,475300,-99
2007-01-01,475410,5
2007-01-01,475490,-99
2007-01-01,476110,8
2007-01-01,476130,-99
2007-01-01,476200,3
2007-01-01,476310,5
2007-01-01,476320,-99
2007-01-01,477110,-99
2007-01-01,477130,-99
2007-01-01,477140,-99
2007-01-01,477150,-99
2007-01-01,477190,20
2007-01-01,477210,3
2007-01-01,477220,4
2007-01-01,477290,-99
2007-01-01,477310,-99
2007-01-01,477320,3
2007-01-01,477330,6
2007-01-01,477410,-99
2007-01-01,477420,3
2007-01-01,477440,-99
2007-01-01,477480,8
2007-01-01,477490,11
2007-01-01,477810,-99
2007-01-01,477830,17
2007-01-01,478010,-99
2007-01-01,479900,3
2007-01-01,492150,-99
2007-01-01,492180,-99
2007-01-01,492190,-99
2007-01-01,492210,3
2007-01-01,492240,-99
2007-01-01,492280,-99
2007-01-01,492290,10
2007-01-01,493200,-99
2007-01-01,501200,4
2007-01-01,502200,-99
2007-01-01,511000,6
2007-01-01,521020,-99
2007-01-01,522010,-99
2007-01-01,522020,7
2007-01-01,522091,4
2007-01-01,522099,8
2007-01-01,523011,12
2007-01-01,523019,-99
2007-01-01,523020,-99
2007-01-01,523031,-99
2007-01-01,523090,30
2007-01-01,524120,-99
2007-01-01,524230,-99
2007-01-01,524290,3
2007-01-01,524390,5
2007-01-01,561011,-99
2007-01-01,561019,4
2007-01-01,561030,-99
2007-01-01,562010,-99
2007-01-01,581100,63
2007-01-01,581300,14
2007-01-01,581900,-99
2007-01-01,591110,10
2007-01-01,591120,-99
2007-01-01,591200,10
2007-01-01,592000,-99
2007-01-01,602100,-99
2007-01-01,602200,-99
2007-01-01,602310,-99
2007-01-01,602320,3
2007-01-01,612000,3
2007-01-01,613000,-99
2007-01-01,614010,-99
2007-01-01,619000,5
2007-01-01,620100,15
2007-01-01,620900,13
2007-01-01,631110,-99
2007-01-01,649999,-99
2007-01-01,681098,41
2007-01-01,681099,7
2007-01-01,682010,-99
2007-01-01,682099,-99
2007-01-01,691001,-99
2007-01-01,692000,-99
2007-01-01,702091,9
2007-01-01,702092,11
2007-01-01,702099,19
2007-01-01,711001,3
2007-01-01,711002,-99
2007-01-01,711003,5
2007-01-01,711009,6
2007-01-01,712000,-99
2007-01-01,721010,-99
2007-01-01,721020,-99
2007-01-01,721030,-99
2007-01-01,731001,-99
2007-01-01,731009,4
2007-01-01,732000,-99
2007-01-01,741000,3
2007-01-01,742000,-99
2007-01-01,749009,4
2007-01-01,750000,-99
2007-01-01,771110,-99
2007-01-01,771290,-99
2007-01-01,773020,-99
2007-01-01,773030,-99
2007-01-01,773090,8
2007-01-01,774000,-99
2007-01-01,791200,-99
2007-01-01,813000,-99
2007-01-01,821100,-99
2007-01-01,821900,-99
2007-01-01,822000,-99
2007-01-01,823000,-99
2007-01-01,829200,6
2007-01-01,829900,29
2007-01-01,854990,-99
2007-01-01,862110,-99
2007-01-01,863200,-99
2007-01-01,869090,-99
2007-01-01,900011,-99
2007-01-01,910900,-99
2007-01-01,920009,-99
2007-01-01,939020,-99
2007-01-01,939090,-99
2007-01-01,941200,-99
2007-01-01,949100,5
2007-01-01,949990,3
2007-01-01,951100,-99
2007-01-01,951200,-99
2007-01-01,952300,-99
2007-01-01,952910,-99
2007-01-01,952990,-99
2007-01-01,960990,18
2007-01-01,999999,27
2007-02-01,11111,9
2007-02-01,11112,-99
2007-02-01,11119,11
2007-02-01,11121,4
2007-02-01,11129,-99
2007-02-01,11211,12
2007-02-01,11299,8
2007-02-01,11310,-99
2007-02-01,11329,17
2007-02-01,11331,12
2007-02-01,11341,-99
2007-02-01,11342,-99
2007-02-01,11501,-99
2007-02-01,11912,-99
2007-02-01,12110,53
2007-02-01,12121,5
2007-02-01,12200,4
2007-02-01,12311,29
2007-02-01,12319,-99
2007-02-01,12320,13
2007-02-01,12490,11
2007-02-01,12510,-99
2007-02-01,12600,-99
2007-02-01,12709,-99
2007-02-01,12900,-99
2007-02-01,13011,4
2007-02-01,13012,-99
2007-02-01,13013,3
2007-02-01,13019,4
2007-02-01,13020,4
2007-02-01,14113,15
2007-02-01,14114,-99
2007-02-01,14211,-99
2007-02-01,14221,5
2007-02-01,14410,3
2007-02-01,14510,-99
2007-02-01,14610,-99
2007-02-01,14720,-99
2007-02-01,14810,3
2007-02-01,14910,3
2007-02-01,14930,5
2007-02-01,14990,-99
2007-02-01,16113,-99
2007-02-01,16150,-99
2007-02-01,16190,-99
2007-02-01,16292,-99
2007-02-01,17020,-99
2007-02-01,21010,-99
2007-02-01,22010,5
2007-02-01,22020,8
2007-02-01,24010,-99
2007-02-01,24020,-99
2007-02-01,31110,17
2007-02-01,31120,30
2007-02-01,31200,-99
2007-02-01,31300,-99
2007-02-01,32000,-99
2007-02-01,51000,-99
2007-02-01,61000,15
2007-02-01,62000,3
2007-02-01,72910,-99
2007-02-01,72990,5
2007-02-01,81100,4
