fecha,clae6,total_cif
2007-01-01,231010,1813516
2007-01-01,231020,2740902
2007-01-01,231090,1138263
2007-01-01,239100,362946
2007-01-01,239201,259495
2007-01-01,239202,2438454
2007-01-01,239209,705926
2007-01-01,239310,805846
2007-01-01,239391,-99
2007-01-01,239399,-99
2007-01-01,239410,5509412
2007-01-01,239422,-99
2007-01-01,239510,122764
2007-01-01,239591,-99
2007-01-01,239592,106363
2007-01-01,239593,628662
2007-01-01,239600,1483082
2007-01-01,239900,2459583
2007-01-01,241001,6255119
2007-01-01,241009,136508848
2007-01-01,242010,64871028
2007-01-01,242090,17213364
2007-01-01,243100,2570209
2007-01-01,243200,2469405
2007-01-01,251101,1100485
2007-01-01,251102,576104
2007-01-01,251200,1057024
2007-01-01,252000,287836
2007-01-01,259100,4540224
2007-01-01,259200,1491368
2007-01-01,259301,1511114
2007-01-01,259302,127064
2007-01-01,259309,320775
2007-01-01,259910,7674987
2007-01-01,259991,-99
2007-01-01,259993,1939448
2007-01-01,259999,16512122
2007-01-01,261000,286028
2007-01-01,262000,15619912
2007-01-01,263000,5495007
2007-01-01,264000,37107572
2007-01-01,265101,2267908
2007-01-01,265102,893054
2007-01-01,265200,-99
2007-01-01,266010,390599
2007-01-01,266090,1499686
2007-01-01,267001,623004
2007-01-01,268000,-99
2007-01-01,271010,8067931
2007-01-01,271020,3779352
2007-01-01,272000,1473409
2007-01-01,273110,514080
2007-01-01,273190,18044740
2007-01-01,274000,1110649
2007-01-01,275010,1925634
2007-01-01,275020,10578640
2007-01-01,275091,-99
2007-01-01,275092,-99
2007-01-01,275099,1753972
2007-01-01,279000,3199897
2007-01-01,281100,12992887
2007-01-01,281201,5335759
2007-01-01,281301,14356167
2007-01-01,281400,3260622
2007-01-01,281500,163458
2007-01-01,281600,1374389
2007-01-01,281700,-99
2007-01-01,281900,3305464
2007-01-01,282110,-99
2007-01-01,282120,9120729
2007-01-01,282130,-99
2007-01-01,282200,865986
2007-01-01,282300,488934
2007-01-01,282400,1628655
2007-01-01,282500,1574454
2007-01-01,282600,104570
2007-01-01,282901,427612
2007-01-01,282909,7004353
2007-01-01,291000,373426912
2007-01-01,292000,1699098
2007-01-01,293011,-99
2007-01-01,293090,86632416
2007-01-01,301100,1094704
2007-01-01,301200,1066252
2007-01-01,302000,417469
2007-01-01,303000,261555
2007-01-01,309100,9414757
2007-01-01,309200,1445030
2007-01-01,309900,207696
2007-01-01,310010,1523729
2007-01-01,310020,1224208
2007-01-01,310030,1026845
2007-01-01,321011,-99
2007-01-01,321020,-99
2007-01-01,322001,40492
2007-01-01,323001,708588
2007-01-01,324000,297058
2007-01-01,329010,106491
2007-01-01,329020,-99
2007-01-01,329040,-99
2007-01-01,329090,3419515
2007-01-01,331210,8564819
2007-01-01,331220,-99
2007-01-01,331290,7033182
2007-01-01,331301,24209
2007-01-01,331900,592499
2007-01-01,332000,-99
2007-01-01,351110,3618998
2007-01-01,351130,3589530
2007-01-01,351190,124925
2007-01-01,351201,491647
2007-01-01,351320,701524
2007-01-01,352020,54868
2007-01-01,360010,-99
2007-01-01,360020,-99
2007-01-01,381100,-99
2007-01-01,381200,-99
2007-01-01,382010,-99
2007-01-01,382020,229973
2007-01-01,410011,534501
2007-01-01,410021,713988
2007-01-01,421000,2659942
2007-01-01,422100,-99
2007-01-01,422200,2181726
2007-01-01,429010,3939858
2007-01-01,429090,1906332
2007-01-01,431210,74967
2007-01-01,431220,69067
2007-01-01,432110,-99
2007-01-01,432190,1073403
2007-01-01,432200,237381
2007-01-01,432910,1493820
2007-01-01,432920,30387
2007-01-01,432990,1324737
2007-01-01,433020,103739
2007-01-01,433040,-99
2007-01-01,439100,110650
2007-01-01,439910,247548
2007-01-01,439990,718327
2007-01-01,451110,12614704
2007-01-01,451190,3263475
2007-01-01,451210,-99
2007-01-01,451290,-99
2007-01-01,452101,-99
2007-01-01,452210,-99
2007-01-01,452300,25871
2007-01-01,452401,-99
2007-01-01,452600,-99
2007-01-01,452700,-99
2007-01-01,452910,-99
2007-01-01,452990,131401
2007-01-01,453100,25633944
2007-01-01,453210,702933
2007-01-01,453220,-99
2007-01-01,453291,2016234
2007-01-01,454010,26045936
2007-01-01,461011,303540
2007-01-01,461012,-99
2007-01-01,461013,-99
2007-01-01,461019,467868
2007-01-01,461029,-99
2007-01-01,461032,-99
2007-01-01,461039,-99
2007-01-01,461040,-99
2007-01-01,461091,-99
2007-01-01,461092,-99
2007-01-01,461093,1788756
2007-01-01,461094,905592
2007-01-01,461095,-99
2007-01-01,461099,2985254
2007-01-01,462120,1453927
2007-01-01,462131,2490995
2007-01-01,462132,-99
2007-01-01,462190,410441
2007-01-01,462209,622746
2007-01-01,463111,455721
2007-01-01,463121,-99
2007-01-01,463129,492629
2007-01-01,463140,5313405
2007-01-01,463151,-99
2007-01-01,463153,-99
2007-01-01,463154,1213854
2007-01-01,463159,-99
2007-01-01,463160,723831
2007-01-01,463170,1078207
2007-01-01,463180,1726395
2007-01-01,463191,3211603
2007-01-01,463199,5496165
2007-01-01,463211,69889
2007-01-01,463212,-99
2007-01-01,463219,-99
2007-01-01,463220,520566
2007-01-01,463300,215062
2007-01-01,464111,13205118
2007-01-01,464112,1660127
2007-01-01,464113,630973
2007-01-01,464114,751473
2007-01-01,464119,4893143
2007-01-01,464121,50754
2007-01-01,464129,1361149
2007-01-01,464130,9064305
2007-01-01,464141,528136
2007-01-01,464142,-99
2007-01-01,464149,2044629
2007-01-01,464150,241521
2007-01-01,464211,2551279
2007-01-01,464212,597971
2007-01-01,464221,9522308
2007-01-01,464222,82267
2007-01-01,464223,4941772
2007-01-01,464310,58897960
2007-01-01,464320,12383518
2007-01-01,464330,6499617
2007-01-01,464340,2246820
2007-01-01,464410,3568536
2007-01-01,464420,2530218
2007-01-01,464501,23075664
2007-01-01,464502,16435381
2007-01-01,464610,490039
2007-01-01,464620,5812916
2007-01-01,464631,1300553
2007-01-01,464632,3787996
2007-01-01,464910,186899
2007-01-01,464920,207891
2007-01-01,464930,2669708
2007-01-01,464940,1165791
2007-01-01,464950,3008762
2007-01-01,464991,138633
2007-01-01,464999,2565359
2007-01-01,465100,48078876
2007-01-01,465210,6705209
2007-01-01,465220,1424570
2007-01-01,465310,8634989
2007-01-01,465320,1632620
2007-01-01,465330,2884067
2007-01-01,465340,9143268
2007-01-01,465350,6708700
2007-01-01,465360,60636
2007-01-01,465390,39473992
2007-01-01,465400,8526217
2007-01-01,465500,19538
2007-01-01,465610,503584
2007-01-01,465690,1418179
2007-01-01,465910,4017650
2007-01-01,465920,484764
2007-01-01,465930,11263539
2007-01-01,465990,23068548
2007-01-01,466110,1451923
2007-01-01,466129,1025058
2007-01-01,466200,13481993
2007-01-01,466310,31712
2007-01-01,466320,1653799
2007-01-01,466330,11536170
2007-01-01,466340,3215420
2007-01-01,466350,-99
2007-01-01,466360,1959532
2007-01-01,466370,158214
2007-01-01,466391,1674566
2007-01-01,466399,3274622
2007-01-01,466910,487395
2007-01-01,466920,-99
2007-01-01,466931,2914843
2007-01-01,466932,28547420
2007-01-01,466939,13947713
2007-01-01,466940,271710
2007-01-01,466990,3900861
2007-01-01,469010,955801
2007-01-01,469090,84905936
2007-01-01,471110,13889534
2007-01-01,471120,5391650
2007-01-01,471190,82496
2007-01-01,471900,-99
2007-01-01,472111,-99
2007-01-01,472130,-99
2007-01-01,472190,-99
2007-01-01,473000,-99
2007-01-01,474010,2611581
2007-01-01,474020,17726
2007-01-01,475110,217889
2007-01-01,475120,-99
2007-01-01,475190,949812
2007-01-01,475210,-99
2007-01-01,475220,151431
2007-01-01,475230,1285103
2007-01-01,475240,-99
