fecha,clae2,total_cif
2007-03-01,65,-99
2007-03-01,66,-99
2007-03-01,68,5276368
2007-03-01,69,7366
2007-03-01,70,8400761
2007-03-01,71,4054487
2007-03-01,72,2688121
2007-03-01,73,1130030
2007-03-01,74,285425
2007-03-01,75,-99
2007-03-01,77,6710564
2007-03-01,78,-99
2007-03-01,79,10596
2007-03-01,80,190856
2007-03-01,81,-99
2007-03-01,82,22523588
2007-03-01,85,121916
2007-03-01,86,1829046
2007-03-01,90,86641
2007-03-01,91,-99
2007-03-01,92,620558
2007-03-01,93,312035
2007-03-01,94,888660
2007-03-01,95,2719058
2007-03-01,96,2345674
2007-03-01,999,3392104
2007-04-01,1,7329245
2007-04-01,2,23259
2007-04-01,3,3807340
2007-04-01,5,-99
2007-04-01,6,81104880
2007-04-01,7,12267490
2007-04-01,8,2375616
2007-04-01,9,50212572
2007-04-01,10,150113376
2007-04-01,11,19397272
2007-04-01,12,8289822
2007-04-01,13,57325244
2007-04-01,14,8280806
2007-04-01,15,21319092
2007-04-01,16,9337721
2007-04-01,17,62056276
2007-04-01,18,13349563
2007-04-01,19,19324472
2007-04-01,20,173436240
2007-04-01,21,60992176
2007-04-01,22,91651552
2007-04-01,23,25541742
2007-04-01,24,168932432
2007-04-01,25,31213486
2007-04-01,26,78760416
2007-04-01,27,51741448
2007-04-01,28,59378760
2007-04-01,29,748613888
2007-04-01,30,29288214
2007-04-01,31,3497147
2007-04-01,32,5453539
2007-04-01,33,14724242
2007-04-01,35,21197756
2007-04-01,37,-99
2007-04-01,38,691603
2007-04-01,41,1098595
2007-04-01,42,10309845
2007-04-01,43,6456620
2007-04-01,45,77485040
2007-04-01,46,610910720
2007-04-01,47,73302200
2007-04-01,49,6573317
2007-04-01,50,244175
2007-04-01,51,14797830
2007-04-01,52,7092118
2007-04-01,53,119939
2007-04-01,55,515277
2007-04-01,56,1254504
2007-04-01,58,5995966
2007-04-01,59,728204
2007-04-01,60,7079593
2007-04-01,61,114895840
2007-04-01,62,5869114
2007-04-01,63,1138985
2007-04-01,64,9949047
2007-04-01,65,-99
2007-04-01,66,16103
2007-04-01,68,2709356
2007-04-01,69,23886
2007-04-01,70,4753046
2007-04-01,71,2479486
2007-04-01,72,1111409
2007-04-01,73,359886
2007-04-01,74,86276
2007-04-01,75,-99
2007-04-01,77,6557822
2007-04-01,79,-99
2007-04-01,80,424412
2007-04-01,81,-99
2007-04-01,82,25205684
2007-04-01,85,311858
2007-04-01,86,3171882
2007-04-01,87,-99
2007-04-01,90,17096
2007-04-01,91,-99
2007-04-01,92,1607846
2007-04-01,93,25592
2007-04-01,94,2730785
2007-04-01,95,1442026
2007-04-01,96,2126410
2007-04-01,999,2330507
2007-05-01,1,7752397
2007-05-01,2,92874
2007-05-01,3,2227716
2007-05-01,5,-99
