fecha,letra,empresas
2008-03-01,G,1153
2008-03-01,H,122
2008-03-01,I,12
2008-03-01,J,137
2008-03-01,K,5
2008-03-01,L,49
2008-03-01,M,91
2008-03-01,N,59
2008-03-01,O,-99
2008-03-01,P,3
2008-03-01,Q,6
2008-03-01,R,11
2008-03-01,S,35
2008-03-01,Z,57
2008-04-01,A,396
2008-04-01,B,96
2008-04-01,C,3907
2008-04-01,D,6
2008-04-01,E,8
2008-04-01,F,45
2008-04-01,G,1172
2008-04-01,H,123
2008-04-01,I,8
2008-04-01,J,146
2008-04-01,K,4
2008-04-01,L,48
2008-04-01,M,113
2008-04-01,N,72
2008-04-01,O,-99
2008-04-01,P,3
2008-04-01,Q,5
2008-04-01,R,6
2008-04-01,S,36
2008-04-01,Z,77
2008-05-01,A,378
2008-05-01,B,93
2008-05-01,C,3957
2008-05-01,D,6
2008-05-01,E,5
2008-05-01,F,49
2008-05-01,G,1209
2008-05-01,H,128
2008-05-01,I,4
2008-05-01,J,148
2008-05-01,K,9
2008-05-01,L,44
2008-05-01,M,99
2008-05-01,N,63
2008-05-01,O,-99
2008-05-01,P,3
2008-05-01,Q,3
2008-05-01,R,8
2008-05-01,S,33
2008-05-01,Z,71
2008-06-01,A,334
2008-06-01,B,86
2008-06-01,C,3806
2008-06-01,D,6
2008-06-01,E,6
2008-06-01,F,44
2008-06-01,G,1128
2008-06-01,H,111
2008-06-01,I,6
2008-06-01,J,147
2008-06-01,K,8
2008-06-01,L,32
2008-06-01,M,94
2008-06-01,N,59
2008-06-01,O,-99
2008-06-01,P,6
2008-06-01,Q,8
2008-06-01,R,14
2008-06-01,S,34
2008-06-01,Z,60
2008-07-01,A,359
2008-07-01,B,97
2008-07-01,C,4051
2008-07-01,D,7
2008-07-01,E,6
2008-07-01,F,45
2008-07-01,G,1196
2008-07-01,H,122
2008-07-01,I,8
2008-07-01,J,146
2008-07-01,K,6
2008-07-01,L,40
2008-07-01,M,105
2008-07-01,N,57
2008-07-01,O,-99
2008-07-01,P,4
2008-07-01,Q,4
2008-07-01,R,10
2008-07-01,S,38
2008-07-01,Z,57
2008-08-01,A,371
2008-08-01,B,98
2008-08-01,C,3946
2008-08-01,D,7
2008-08-01,E,9
2008-08-01,F,56
2008-08-01,G,1135
2008-08-01,H,110
2008-08-01,I,6
2008-08-01,J,139
2008-08-01,K,6
2008-08-01,L,46
2008-08-01,M,97
2008-08-01,N,63
2008-08-01,O,3
2008-08-01,P,6
2008-08-01,Q,6
2008-08-01,R,12
2008-08-01,S,38
2008-08-01,Z,56
2008-09-01,A,357
2008-09-01,B,94
2008-09-01,C,4029
2008-09-01,D,5
2008-09-01,E,6
2008-09-01,F,46
2008-09-01,G,1171
2008-09-01,H,120
2008-09-01,I,7
2008-09-01,J,120
2008-09-01,K,6
2008-09-01,L,43
2008-09-01,M,101
2008-09-01,N,50
2008-09-01,O,3
2008-09-01,P,5
2008-09-01,Q,4
2008-09-01,R,10
2008-09-01,S,39
2008-09-01,Z,52
2008-10-01,A,323
2008-10-01,B,103
2008-10-01,C,4045
2008-10-01,D,6
2008-10-01,E,5
2008-10-01,F,50
2008-10-01,G,1186
2008-10-01,H,109
2008-10-01,I,9
2008-10-01,J,147
2008-10-01,K,5
2008-10-01,L,54
2008-10-01,M,98
2008-10-01,N,57
2008-10-01,O,-99
2008-10-01,P,-99
2008-10-01,Q,5
2008-10-01,R,5
2008-10-01,S,33
2008-10-01,Z,50
2008-11-01,A,312
2008-11-01,B,86
2008-11-01,C,3961
2008-11-01,D,9
2008-11-01,E,7
2008-11-01,F,45
2008-11-01,G,1144
2008-11-01,H,122
2008-11-01,I,5
2008-11-01,J,128
2008-11-01,K,6
2008-11-01,L,55
2008-11-01,M,112
2008-11-01,N,55
2008-11-01,O,-99
2008-11-01,P,3
2008-11-01,Q,5
2008-11-01,R,18
2008-11-01,S,32
2008-11-01,Z,47
2008-12-01,A,329
2008-12-01,B,90
2008-12-01,C,3689
2008-12-01,D,8
2008-12-01,E,4
2008-12-01,F,47
2008-12-01,G,1102
2008-12-01,H,110
2008-12-01,I,5
2008-12-01,J,123
2008-12-01,K,5
2008-12-01,L,43
2008-12-01,M,100
2008-12-01,N,58
2008-12-01,O,-99
2008-12-01,P,3
2008-12-01,Q,5
2008-12-01,R,8
2008-12-01,S,35
2008-12-01,Z,46
2009-01-01,A,288
2009-01-01,B,79
2009-01-01,C,3340
2009-01-01,D,6
2009-01-01,E,5
2009-01-01,F,42
2009-01-01,G,982
2009-01-01,H,105
2009-01-01,I,5
2009-01-01,J,121
2009-01-01,K,3
2009-01-01,L,38
2009-01-01,M,77
2009-01-01,N,48
2009-01-01,O,-99
2009-01-01,P,5
2009-01-01,Q,7
2009-01-01,R,8
2009-01-01,S,38
2009-01-01,Z,36
2009-02-01,A,311
2009-02-01,B,90
2009-02-01,C,3346
2009-02-01,D,6
2009-02-01,E,5
2009-02-01,F,37
2009-02-01,G,1006
2009-02-01,H,99
2009-02-01,I,6
2009-02-01,J,119
2009-02-01,K,4
2009-02-01,L,27
2009-02-01,M,87
2009-02-01,N,47
2009-02-01,O,-99
2009-02-01,P,3
2009-02-01,Q,6
2009-02-01,R,9
2009-02-01,S,24
2009-02-01,Z,49
2009-03-01,A,357
2009-03-01,B,88
2009-03-01,C,3515
2009-03-01,D,7
2009-03-01,E,5
2009-03-01,F,33
2009-03-01,G,1061
2009-03-01,H,120
2009-03-01,I,8
2009-03-01,J,107
2009-03-01,K,4
2009-03-01,L,35
2009-03-01,M,92
2009-03-01,N,62
2009-03-01,O,-99
2009-03-01,P,3
2009-03-01,Q,5
2009-03-01,R,6
2009-03-01,S,36
2009-03-01,Z,40
2009-04-01,A,364
2009-04-01,B,89
2009-04-01,C,3460
2009-04-01,D,10
2009-04-01,E,8
2009-04-01,F,43
2009-04-01,G,1051
2009-04-01,H,107
2009-04-01,I,6
2009-04-01,J,127
2009-04-01,K,5
2009-04-01,L,33
2009-04-01,M,88
2009-04-01,N,61
2009-04-01,O,-99
2009-04-01,P,-99
2009-04-01,Q,6
2009-04-01,R,8
2009-04-01,S,29
2009-04-01,Z,48
2009-05-01,A,365
2009-05-01,B,91
2009-05-01,C,3622
2009-05-01,D,8
2009-05-01,E,9
2009-05-01,F,41
2009-05-01,G,1056
2009-05-01,H,108
2009-05-01,I,6
2009-05-01,J,123
2009-05-01,K,4
2009-05-01,L,35
2009-05-01,M,95
2009-05-01,N,63
2009-05-01,P,-99
2009-05-01,Q,6
2009-05-01,R,8
2009-05-01,S,30
2009-05-01,Z,38
2009-06-01,A,347
2009-06-01,B,83
2009-06-01,C,3523
2009-06-01,D,8
2009-06-01,E,7
2009-06-01,F,35
2009-06-01,G,1098
2009-06-01,H,92
2009-06-01,I,6
2009-06-01,J,133
2009-06-01,K,3
2009-06-01,L,35
2009-06-01,M,82
2009-06-01,N,52
2009-06-01,P,3
2009-06-01,Q,3
2009-06-01,R,9
2009-06-01,S,28
2009-06-01,Z,105
2009-07-01,A,323
2009-07-01,B,99
2009-07-01,C,3644
2009-07-01,D,8
2009-07-01,E,7
2009-07-01,F,37
2009-07-01,G,1090
2009-07-01,H,102
2009-07-01,I,8
2009-07-01,J,133
2009-07-01,K,3
2009-07-01,L,35
2009-07-01,M,93
2009-07-01,N,57
2009-07-01,P,4
2009-07-01,Q,7
2009-07-01,R,5
2009-07-01,S,33
2009-07-01,Z,37
2009-08-01,A,331
2009-08-01,B,86
2009-08-01,C,3644
2009-08-01,D,7
2009-08-01,E,7
2009-08-01,F,46
2009-08-01,G,1013
2009-08-01,H,104
2009-08-01,I,4
2009-08-01,J,129
2009-08-01,K,5
2009-08-01,L,34
2009-08-01,M,77
2009-08-01,N,51
2009-08-01,O,-99
2009-08-01,P,6
2009-08-01,Q,6
2009-08-01,R,6
2009-08-01,S,26
2009-08-01,Z,33
2009-09-01,A,343
2009-09-01,B,95
2009-09-01,C,3776
2009-09-01,D,6
2009-09-01,E,8
2009-09-01,F,48
2009-09-01,G,1047
2009-09-01,H,103
2009-09-01,I,5
2009-09-01,J,132
2009-09-01,K,-99
2009-09-01,L,38
2009-09-01,M,86
2009-09-01,N,56
2009-09-01,O,-99
2009-09-01,P,4
2009-09-01,Q,5
2009-09-01,R,9
2009-09-01,S,33
2009-09-01,Z,38
2009-10-01,A,313
2009-10-01,B,95
2009-10-01,C,3878
2009-10-01,D,7
2009-10-01,E,13
2009-10-01,F,47
2009-10-01,G,1087
2009-10-01,H,111
2009-10-01,I,7
2009-10-01,J,132
2009-10-01,K,3
2009-10-01,L,32
2009-10-01,M,89
2009-10-01,N,53
2009-10-01,O,-99
2009-10-01,P,-99
2009-10-01,Q,6
2009-10-01,R,8
2009-10-01,S,36
2009-10-01,Z,78
2009-11-01,A,335
2009-11-01,B,94
2009-11-01,C,3891
2009-11-01,D,9
2009-11-01,E,8
2009-11-01,F,44
2009-11-01,G,1135
2009-11-01,H,109
2009-11-01,I,7
2009-11-01,J,134
2009-11-01,K,-99
2009-11-01,L,37
2009-11-01,M,70
2009-11-01,N,54
2009-11-01,O,-99
2009-11-01,P,6
2009-11-01,Q,9
2009-11-01,R,10
2009-11-01,S,31
2009-11-01,Z,28
2009-12-01,A,341
2009-12-01,B,84
2009-12-01,C,3844
2009-12-01,D,4
2009-12-01,E,7
2009-12-01,F,43
2009-12-01,G,1089
2009-12-01,H,116
2009-12-01,I,5
2009-12-01,J,124
2009-12-01,K,-99
2009-12-01,L,34
2009-12-01,M,100
2009-12-01,N,52
2009-12-01,P,3
2009-12-01,Q,6
2009-12-01,R,8
2009-12-01,S,28
2009-12-01,Z,27
2010-01-01,A,321
2010-01-01,B,87
2010-01-01,C,3457
2010-01-01,D,8
2010-01-01,E,8
2010-01-01,F,48
2010-01-01,G,1031
2010-01-01,H,106
2010-01-01,I,6
2010-01-01,J,132
2010-01-01,K,-99
2010-01-01,L,29
2010-01-01,M,87
2010-01-01,N,53
2010-01-01,O,-99
2010-01-01,P,3
2010-01-01,Q,6
2010-01-01,R,3
2010-01-01,S,25
2010-01-01,Z,28
2010-02-01,A,317
2010-02-01,B,86
2010-02-01,C,3469
2010-02-01,D,6
2010-02-01,E,5
2010-02-01,F,34
2010-02-01,G,1046
2010-02-01,H,91
2010-02-01,I,6
2010-02-01,J,110
2010-02-01,K,-99
2010-02-01,L,41
2010-02-01,M,90
2010-02-01,N,53
2010-02-01,O,-99
2010-02-01,P,-99
2010-02-01,Q,9
2010-02-01,R,9
2010-02-01,S,28
2010-02-01,Z,30
2010-03-01,A,352
2010-03-01,B,89
2010-03-01,C,3696
2010-03-01,D,7
2010-03-01,E,7
2010-03-01,F,48
2010-03-01,G,1109
2010-03-01,H,112
