fecha,letra,empresas
2007-01-01,A,200
2007-01-01,B,110
2007-01-01,C,3937
2007-01-01,D,29
2007-01-01,E,12
2007-01-01,F,155
2007-01-01,G,3850
2007-01-01,H,199
2007-01-01,I,22
2007-01-01,J,247
2007-01-01,K,29
2007-01-01,L,80
2007-01-01,M,236
2007-01-01,N,117
2007-01-01,P,9
2007-01-01,Q,30
2007-01-01,R,29
2007-01-01,S,62
2007-01-01,Z,41
2007-02-01,A,179
2007-02-01,B,94
2007-02-01,C,3690
2007-02-01,D,25
2007-02-01,E,18
2007-02-01,F,133
2007-02-01,G,3623
2007-02-01,H,152
2007-02-01,I,22
2007-02-01,J,222
2007-02-01,K,25
2007-02-01,L,76
2007-02-01,M,210
2007-02-01,N,122
2007-02-01,P,8
2007-02-01,Q,25
2007-02-01,R,27
2007-02-01,S,71
2007-02-01,Z,54
2007-03-01,A,168
2007-03-01,B,99
2007-03-01,C,4001
2007-03-01,D,25
2007-03-01,E,9
2007-03-01,F,154
2007-03-01,G,3904
2007-03-01,H,189
2007-03-01,I,22
2007-03-01,J,242
2007-03-01,K,29
2007-03-01,L,79
2007-03-01,M,225
2007-03-01,N,125
2007-03-01,P,9
2007-03-01,Q,25
2007-03-01,R,29
2007-03-01,S,76
2007-03-01,Z,43
2007-04-01,A,139
2007-04-01,B,95
2007-04-01,C,3725
2007-04-01,D,22
2007-04-01,E,11
2007-04-01,F,138
2007-04-01,G,3543
2007-04-01,H,189
2007-04-01,I,14
2007-04-01,J,227
2007-04-01,K,31
2007-04-01,L,58
2007-04-01,M,201
2007-04-01,N,104
2007-04-01,P,10
2007-04-01,Q,40
2007-04-01,R,23
2007-04-01,S,57
2007-04-01,Z,37
2007-05-01,A,142
2007-05-01,B,113
2007-05-01,C,3943
2007-05-01,D,21
2007-05-01,E,15
2007-05-01,F,151
2007-05-01,G,3905
2007-05-01,H,203
2007-05-01,I,17
2007-05-01,J,236
2007-05-01,K,24
2007-05-01,L,76
2007-05-01,M,251
2007-05-01,N,132
2007-05-01,P,6
2007-05-01,Q,34
2007-05-01,R,24
2007-05-01,S,74
2007-05-01,Z,42
2007-06-01,A,147
2007-06-01,B,105
2007-06-01,C,3997
2007-06-01,D,22
2007-06-01,E,10
2007-06-01,F,156
2007-06-01,G,3942
2007-06-01,H,182
2007-06-01,I,14
2007-06-01,J,239
2007-06-01,K,20
2007-06-01,L,82
2007-06-01,M,224
2007-06-01,N,114
2007-06-01,P,9
2007-06-01,Q,29
2007-06-01,R,37
2007-06-01,S,61
2007-06-01,Z,46
2007-07-01,A,161
2007-07-01,B,107
2007-07-01,C,4140
2007-07-01,D,26
2007-07-01,E,14
2007-07-01,F,150
2007-07-01,G,4142
2007-07-01,H,189
2007-07-01,I,21
2007-07-01,J,236
2007-07-01,K,25
2007-07-01,L,83
2007-07-01,M,257
2007-07-01,N,132
2007-07-01,P,6
2007-07-01,Q,35
2007-07-01,R,30
2007-07-01,S,64
2007-07-01,Z,55
2007-08-01,A,194
2007-08-01,B,118
2007-08-01,C,4254
2007-08-01,D,23
2007-08-01,E,10
2007-08-01,F,158
2007-08-01,G,4237
2007-08-01,H,205
2007-08-01,I,21
2007-08-01,J,252
2007-08-01,K,27
2007-08-01,L,81
2007-08-01,M,240
2007-08-01,N,131
2007-08-01,P,6
2007-08-01,Q,31
2007-08-01,R,26
2007-08-01,S,74
2007-08-01,Z,54
2007-09-01,A,181
2007-09-01,B,102
2007-09-01,C,4017
2007-09-01,D,23
2007-09-01,E,8
2007-09-01,F,157
2007-09-01,G,3956
2007-09-01,H,184
2007-09-01,I,19
2007-09-01,J,247
2007-09-01,K,22
2007-09-01,L,83
2007-09-01,M,230
2007-09-01,N,124
2007-09-01,P,6
2007-09-01,Q,28
2007-09-01,R,27
2007-09-01,S,71
2007-09-01,Z,52
2007-10-01,A,197
2007-10-01,B,105
2007-10-01,C,4264
